SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
"MATHEMATICAL TECHNICIANS",32,0.0,48685,12373.57980645056
"SET AND EXHIBIT DESIGNERS",31,0.0,45863,15527.98360887173
"SALES AND RELATED WORKERS, ALL OTHER",31,0.0,37022,13940.592572257943
"HEALTH SPECIALITIES TEACHERS, POSTSECONDARY",31,0.0,42007,8560.538995333285
"GENETIC COUNSELORS",30,0.0,56061,9228.129646822506
"SUBSTANCE ABUSE AND BEHAVIORAL DISORDER COUNSELORS",30,0.0,38154,9088.760378195499
"ENVIRONMENTAL SCIENCE AND PROTECTION TECHNICIANS,",29,0.0,38438,6707.338677834215
"COMPUTER PROGRAMMERS, R&D",29,0.0,50228,11476.325414051242
"GRAPHIC DESIGNER",29,0.0,56523,14324.281414203424
"FITNESS TRAINERS AND AEROBICS INSTRUCTORS",29,0.0,69869,183760.6377810972
"MANUFACTURING ENGINEERS",29,0.0,61718,11449.828585178133
ORTHODONTISTS,28,0.0,167165,40065.55111859471
"RESIDENTIAL ADVISORS",28,0.0,29636,6240.342630615454
"AEROSPACE ENGINEERING AND OPERATIONS TECHNICIANS",28,0.0,58939,13767.376529493533
"OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, ALL",28,0.0,36778,9301.981398798891
"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POSTSECO",27,0.0,42139,9253.607706971477
"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&AMP;D",27,0.0,65214,13524.04596464284
"INFORMATION SECURITY ANALYSTS, WEB DEVELOPERS, AND",27,0.0,71452,16023.13497357319
"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND",27,0.0,39590,12124.775149602028
"VOCATIONAL EDUCATION TEACHERS, POSTSECONDARY",27,0.0,44233,8799.048040358155
"PRODUCTION, PLANNING, AND EXPEDITING CLERKS",27,0.0,39522,12047.672962632912
"ENVIRONMENTAL ENGINEERING TECHNICIANS",26,0.0,41467,9017.36430658674
"RECREATIONAL THERAPISTS",26,0.0,41161,10193.435427483224
"HOME ECONOMICS TEACHERS, POSTSECONDARY",26,0.0,46700,8256.713847659381
MODELS,25,0.0,71906,27458.25639259032
"MUSEUM TECHNICIANS AND CONSERVATORS",24,0.0,46620,12386.650065766295
"ELECTRICAL AND ELECTRONICS ENGINEERING TECHNICIANS",24,0.0,47623,9995.293670975805
"ADVERTISING SALES AGENTS",24,0.0,43297,22443.81553969928
"COUNSELORS, ALL OTHER",24,0.0,38435,8727.28885022138
"TAX PREPARERS",24,0.0,39593,8815.329587047872
"DATA WAREHOUSING SPECIALISTS",24,0.0,59310,10523.290443107613
AUDIOLOGISTS,24,0.0,69408,11784.75576756815
"TRANSPORTATION INSPECTORS",24,0.0,42722,12890.255362720896
"COMPUTER SUPPORT SPECIALISTS",24,0.0,47474,13178.096783359772
"MECHANICAL ENGINEERS, R&AMP;D",23,0.0,50943,12834.445698686133
PODIATRISTS,23,0.0,70816,17968.724217859904
"PHYSICAL THERAPIST ASSISTANTS",23,0.0,47088,9649.055899680658
